Date,Price,Open,High,Low,Vol.,Change %
2017-01-12,13850.4,9947.1,19870.6,9420.9,5.12M,39.25%
2017-01-11,9946.8,6449.1,11417.8,5493.6,3.96M,54.18%
2017-01-10,6451.2,4360.6,6467.2,4143.4,2.98M,47.94%
2017-01-09,4360.6,4735.1,4976.5,2979.9,3.93M,-7.91%
2017-01-08,4735.1,2883.3,4765.1,2659.6,3.13M,64.23%
2017-01-07,2883.3,2480.6,2932.8,1809,3.75M,16.23%
2017-01-06,2480.6,2303.3,2985.1,2125.6,3.35M,7.70%
2017-01-05,2303.3,1351.9,2781.8,1342.8,3.45M,70.38%
2017-01-04,1351.9,1079.1,1358.9,841.5,1.56M,25.28%
2017-01-03,1079.1,1189.3,1330.4,890.4,2.68M,-9.26%
2017-01-02,1189.3,965.5,1211.7,924.7,1.31M,23.18%
2017-01-01,965.5,963.4,1150.6,739.5,2.21M,0.22%
2016-01-12,963.4,742.5,982.6,741.1,1.27M,29.75%
2016-01-11,742.5,698.7,755.3,670.4,1.23M,6.27%
2016-01-10,698.7,608.1,720.2,606.5,905.66K,14.89%
2016-01-09,608.1,573.9,705,569.3,748.55K,5.97%
2016-01-08,573.9,621.9,627.9,471.4,1.08M,-7.72%
2016-01-07,621.9,670,701.5,605,1.63M,-7.19%
2016-01-06,670,528.9,776,521.3,3.55M,26.68%
2016-01-05,528.9,448.5,548,435.4,1.66M,17.92%
2016-01-04,448.5,415.7,468.9,412.4,1.39M,7.91%
2016-01-03,415.7,436.2,439,386.9,1.66M,-4.71%
2016-01-02,436.2,369.8,447.6,365.3,1.99M,17.95%
2016-01-01,369.8,430,462.9,350.4,2.49M,-13.98%
2015-01-12,430,378,467.7,347.2,3.20M,13.75%
2015-01-11,378,311.2,492.8,292.4,4.29M,21.44%
2015-01-10,311.2,235.9,334.9,234.7,2.28M,31.92%
2015-01-09,235.9,229.5,246.4,224.1,1.65M,2.82%
2015-01-08,229.5,283.7,285.7,196.3,2.22M,-19.12%
2015-01-07,283.7,264.1,315.9,243.2,1.86M,7.42%
2015-01-06,264.1,229.8,268.7,221,1.75M,14.91%
2015-01-05,229.8,235.8,247.9,228.2,1.64M,-2.52%
2015-01-04,235.8,244.1,261.5,214.1,2.07M,-3.43%
2015-01-03,244.1,254.1,301,234.8,2.97M,-3.90%
2015-01-02,254.1,218.5,264.6,209.7,2.09M,16.27%
2015-01-01,218.5,318.2,321.4,157.3,1.56M,-31.34%
2014-01-12,318.2,374.9,384.9,303.4,847.29K,-15.12%
2014-01-11,374.9,337.9,480.5,319.8,711.11K,10.97%
2014-01-10,337.9,388.2,407.7,294.9,569.00K,-12.96%
